logFC	adj.P.Val	Gene Symbol	Probeset Type
0.09084592489336	0.523378351373615	POF1B	odd
-0.0883334926193173	0.712041248581826	KHDRBS1	odd
0.307499250841282	0.523638715742187	CLIC1	odd
0.133075135090971	0.523911452705898	STRN4	odd
0.07908134994046945	0.528064169481514	ARID1A	even
-0.0601853889018372	0.52401628189703	DOCK5	even
0.12435857858013	0.52401628189703	OR2H1	odd
-0.266910691442238	0.524062993047725	DNAJC7	odd
0.152470166615448	0.524105148079659	CLCN1	odd
0.12283680705928	0.524233667302934	SLC5A6	odd
0.167503669507101	0.524233667302934	SPSB3	even
0.0986163107800975	0.524263387311864	CAPN5	odd
-0.44854228872274504	0.524400994818106	CALB1	even
0.152904065091566	0.524401682013133	IFT140	odd
-0.27735957297538	0.524465873048185	S1PR1	odd
0.0939649658992172	0.524746675671438	LOC100288974 /// MBL1P	odd
0.09313225491577	0.58681631397563	AFF1	odd
0.270952220930978	0.525144662685469	GNPDA1	odd
0.0705910005800989	0.525254197060195	CYP2R1	odd
0.107598287321992	0.525254197060195	SPATA31A1 /// SPATA31A3 /// SPATA31A5 /// SPATA31A6 /// SPATA31A7	odd
-0.37486347270948	0.525254197060195	PECAM1	odd
0.0820191725492458	0.609541442450461	CHN2	odd
0.11815448631991665	0.525430202136423	FRMD4A	even
0.0862878211732934	0.525430202136423	GNRHR	odd
0.139372757389947	0.525430670059893	ENTPD2	odd
0.0649760064136579	0.525501351212653	KARS	even
0.120393478630675	0.525534089245142	KCNJ9	odd
-0.08867183788777155	0.525534089245142	SIRT5	even
0.126109515716883	0.525867724556444	MYBPC2	odd
0.07141187096246045	0.525867724556444	MYL6	even
-0.174163559087583	0.525926760208604	ADAMTS9	odd
0.11195657332639	0.525926760208604	CLSPN	odd
0.1962689347042817	0.52623842910955	NEFH	even
0.178156444986085	0.52623842910955	NTSR1	odd
-0.39921486014312	0.526355040576653	PC	odd
0.132266828718728	0.526708280892553	FGF21	odd
0.562638527237421	0.52686177724782	CDH16	odd
-0.289793618662556	0.526880324183147	PTPRG	odd
0.0651144921144025	0.526880324183147	CYP2E1	odd
0.11903164741093085	0.771621861063453	NENF	even
0.0953896793306779	0.527438549588401	ICAM5	odd
-0.13012155735334	0.52771400572288	SLC44A1	odd
-0.16202862500251	0.52771400572288	THBS4	odd
-0.178264347116175	0.52771400572288	PXMP4	odd
-0.016776275920978453	0.623151236709559	IPO7	even
-0.10363922109975444	0.528064169481514	FAM3A	even
0.152233398924194	0.528225954207336	ARMCX5	odd
0.117273897093082	0.571061211006865	CSH1 /// CSH2	odd
0.307949309471152	0.528225954207336	CDK2AP2	odd
-0.258058968397979	0.52879525461063	PEMT	odd
-0.270510745146583	0.529055812682567	RBM42	odd
0.116037314492909	0.529170644670434	DGCR9	odd
0.251273904109352	0.529451621274052	GNG12	odd
0.0974369069770873	0.529727867060805	CHPF2	even
0.14653624945185	0.529727867060805	RFC4	odd
0.0856808520159689	0.529727867060805	TLK1	odd
0.23564499329941238	0.529727867060805	ACAA2	even
-0.100751154030855	0.529737453215854	EIF2B5	odd
-0.210615646786225	0.529881285813498	PAXIP1	odd
0.0333975903243644	0.841851001942828	PDS5A	even
0.107735776027079	0.529970951343188	CA3	odd
0.196587194149394	0.735548764285549	CCND2	odd
-0.06914975276298305	0.530057509834768	IL6R	even
-0.215032917906061	0.530093776675724	IFT122 /// LOC101927266	odd
0.22780673834057	0.530093776675724	RAP1GAP2	odd
0.132922703150841	0.530213776064219	TG	odd
0.153741613958859	0.530494142660765	PLEKHA6	odd
-0.17265825635647	0.53061470744335	FAM32A	odd
0.0280558323454603	0.909258026936058	PSMB1	odd
0.144104803095922	0.530751140418589	WNT1	odd
0.0577489270651479	0.530764086548969	KCNJ4	even
0.156823918274131	0.530866472786611	HSPBAP1	odd
-0.205985182806159	0.531036698474451	BPGM	odd
-0.389055283810785	0.531060899600687	LRRC32	odd
0.13950847897718	0.531120466231387	TMEM53	odd
0.26496576596308	0.531120466231387	SCO2	odd
0.132654733662952	0.531217867451889	OR10C1	odd
-0.24557322804848902	0.531217867451889	PPP1R16B	even
0.039459544052905006	0.531217867451889	TMX1	even
0.271417143380921	0.531217867451889	DECR2	odd
-0.338910246135375	0.531350695994326	INSIG2	odd
0.0662349512942457	0.531479537216562	OSMR	odd
0.15942718992534	0.531582606411567	POLD1	odd
-0.140634298503159	0.531719763203713	AK5	odd
0.134072992354849	0.531730638750983	KLHL36	odd
-0.2391039907078465	0.531967807617539	TOB2	even
0.154910203810659	0.531998141688236	ZNF551	odd
-0.0853590251035294	0.532004158357438	LGALS14	odd
0.0775329165949251	0.532149677665202	ABCG1	even
0.10126499562366781	0.532261140176366	FAM214B	even
0.314726761119737	0.532261140176366	ATP6V0A4	odd
0.115494409629243	0.532319707939545	HAS2	odd
0.0791244704169749	0.743929555001236	MASP2	odd
-0.0692653063225483	0.532336261919355	RP6-149D17.1	odd
-0.362059288277054	0.532336261919355	KLF2	odd
0.01629375012267755	0.56881031819841	BAZ2A	even
0.08418408106468944	0.532624715401355	SNX27	even
0.0784488990441652	0.53267442128417	OR10H2	odd
0.135870823674353	0.53267442128417	TRPM8	odd
0.0881847693804285	0.53267442128417	LOC101928143 /// LOC101930388 /// NUMB	even
0.242114389592881	0.53267442128417	NUPL1	odd
0.23485266668045404	0.53267442128417	DDOST	even
-0.0645154641121815	0.53267442128417	RAB5C	even
0.10156971265989	0.53267442128417	HSPB7	odd
-0.0940806185371743	0.53267442128417	POPDC3	odd
0.22903918401278	0.53267442128417	CDO1	odd
0.100332510883225	0.532685437673684	PRH1-PRR4 /// PRR4	odd
-0.14661127686869	0.532685437673684	LRRC36	odd
0.09037514594279485	0.532685437673684	GABPB1	even
-0.0833786940876227	0.532757465870572	VEZT	odd
-0.147862714839744	0.532763901288456	TBC1D17	odd
-0.204471834540525	0.532887424709021	APIP	odd
0.128447482548286	0.532887424709021	ATP5G2P1 /// ATP5G2P1	odd
-0.120378574052539	0.533041149953971	C5orf15	odd
-0.10580727487398525	0.533220471450202	MADD	even
0.159730448513591	0.533332597438242	CAV3	odd
0.166063911646769	0.533332597438242	TM6SF1	odd
0.10355495219270006	0.533374314806124	EDN3	even
-0.161043567255382	0.533374314806124	C18orf8	odd
0.06481331388506525	0.533517797197736	SCYL3	even
-0.34892573771392	0.533524045689148	LIME1 /// ZGPAT	odd
0.155934151416845	0.533595986322045	GPR31	odd
-0.0680375626864222	0.58681631397563	TACR1	odd
0.106057055913694	0.533902642756171	KLRG1	odd
0.0669850331366897	0.533940247033632	BCL9	odd
0.20851726120081	0.534005650319599	C11orf57	odd
0.0842477052355699	0.534136315637113	GS1-124K5.9	odd
0.03799543538452535	0.534167146697233	CSF2	even
0.0785105935755608	0.534167146697233	INSL5	odd
0.204803896634516	0.534167146697233	AARS	odd
-0.0984728826041721	0.53421096594292	PTPRZ1	odd
0.276004750044341	0.534233811314286	ACSS3	odd
0.265937289757423	0.534233811314286	MCCC1	odd
0.0778036889090679	0.534233811314286	BTF3P12 /// BTF3P12	odd
-0.0360701124101106	0.814217081281066	PLK4	odd
0.0401783882794007	0.71546845114171	TAF6L	even
0.157205597819671	0.534723134605856	FLCN	odd
0.107082304588288	0.534724317424814	SLC25A40	odd
0.0707749494936261	0.534862082787223	PMS2L2	odd
0.280962840112764	0.534862082787223	GSTP1	odd
0.161386092575398	0.534886863821797	ADRA2C	odd
0.103330685866786	0.535623979513126	CYTH3	odd
-0.09259347964404245	0.540859743501729	MLX	even
0.0525455825553281	0.535873657678039	SMEK1	even
0.246067419617027	0.535875234847844	EPCAM	odd
-0.0945924195476939	0.535875234847844	SLC1A6	odd
0.199235060787339	0.536173965718751	MAP1S	odd
-0.212743529328769	0.536232950254467	MAOB	odd
0.14282436088411	0.536232950254467	APOL5	odd
0.158907654223954	0.536316960737697	ADAMTS3	odd
0.0040286191604774	0.982145995792349	OPRM1	odd
-0.36075352541631	0.536448092888665	RTCA	odd
0.0962978065045646	0.536499549712117	EIF3F	even
-0.043310042851471	0.536499549712117	CPNE3	even
-0.248995439329616	0.536499549712117	AKIRIN1	odd
-0.397293915469516	0.536527767960595	FABP4	odd
0.286067018250439	0.536560691458899	NMI	odd
0.476178952410382	0.536602852821916	CYP4F2 /// CYP4F3	odd
0.281330303213465	0.536602852821916	GALNT7	odd
0.0647340292042737	0.536602852821916	ZNF682	odd
-0.404349861570704	0.536602852821916	PSMA3	odd
-0.421948776578404	0.536602852821916	SNAI2	odd
-0.0828808860900949	0.536602852821916	RPUSD2	odd
0.0715495098541732	0.536602852821916	EREG	odd
0.166334327804749	0.536602852821916	CPSF1 /// MIR1234 /// MIR6849 /// MIR939	even
0.100613891440432	0.536605259463139	TRIM21	odd
0.0914519833309315	0.536635443906093	UPK3B	odd
-0.309498580683043	0.536659805022413	HLX	odd
0.054070258383754205	0.537196250085259	CHRNB3	even
-0.166668439143477	0.537196250085259	ATP1B2	odd
-0.233498027139374	0.537224968628343	TFPT	odd
-0.03604937880761185	0.537340957944816	MAGOH2	even
-0.123687331008179	0.537652289414058	YY1AP1	odd
-0.0837673232300462	0.538007630268678	DEFA5	odd
-0.11643796589956106	0.538007630268678	NCBP2	even
-0.221635124975435	0.538007630268678	ISYNA1	odd
0.25076798322842	0.538007630268678	VPREB3	odd
-0.036533710706769744	0.538565369925461	RBMS2	even
-0.0729661803594182	0.538679123226245	PHTF2	odd
0.0077313821363915	0.966897743752962	MDM2	odd
-0.1031804848405028	0.538816740478435	DOK1	even
0.03922293355629015	0.554047367580939	SRSF1	even
0.0640077003982729	0.538922906378081	FAM135A	odd
0.02787497277372	0.538922906378081	SPAST	even
0.0866651606977449	0.538932185596756	ZPBP	odd
0.103266976184416	0.538981344065826	KIAA0509	odd
0.132861166671244	0.538981344065826	F10	odd
0.19928534868139403	0.539006329603221	PTGR2 /// ZNF410	even
-0.0120154872310589	0.97746163174972	KHSRP	odd
0.0585515258710143	0.539014162977491	ZNF780B	odd
0.119671941976673	0.539421927391958	POU4F2	odd
0.129804332184612	0.539501931474119	LOC441601	odd
0.134309124515106	0.539501931474119	ADRA2B	odd
0.131869227967006	0.539501931474119	LINC00563	odd
0.132706640319889	0.539501931474119	CPZ /// GPR78	odd
-0.103225983367524	0.539547585055816	PRAMEF11	odd
-0.187000394335847	0.539547585055816	SERP1	odd
0.0992365820630736	0.539547585055816	SHOX	odd
-0.0167440846340048	0.928605618794054	NRXN1	odd
0.100068321464132	0.539702728355505	PLA2G1B	odd
0.316754108898889	0.540151496286981	CCL4	odd
-0.106774720602721	0.540201283214581	ZNF214	odd
0.10644845149025664	0.540345353675449	TBCD	even
0.307389249852849	0.540459990126517	ATP6V0D1	odd
-0.153168761005434	0.540815686863545	BRD9	odd
0.012320200570499644	0.540859743501729	ORC4	even
0.02296145660314905	0.540924322496537	UTRN	even
-0.260551801934401	0.540993661345638	ZKSCAN7	odd
0.126539328934678	0.541010891168675	LOC100131532	odd
-0.200625579411406	0.54114581181973	ZC3H4	odd
-0.248743113267235	0.541168782088616	PF4	odd
0.145317106151232	0.541391030860853	FGD6	odd
-0.158646906362569	0.54155284565973	ADAM11	odd
0.204361684522273	0.541760865981909	LOC100996756	odd
0.317480555454643	0.541841168595224	DDT /// DDTL	odd
-0.116951755039684	0.542128115959464	PAFAH1B2	odd
0.147767531021636	0.542520642432232	HSF4	odd
0.0418708522109652	0.542520642432232	KIAA1045	even
0.104806443795148	0.542563241118119	PAGE4	odd
-0.174066147519644	0.542642489258014	C1orf50 /// LOC100129924	odd
